id,Brand,Model,Processor,GPU,RAM,Storage,Display,Average Price (SAR),Purpose,CPU Score,GPU Score,Battery Life,purposeScoreGaming,purposeScoreWork,purposeScoreProgramming,purposeScoreDesign,totalScore
25,Dell,G16 7630,Intel Core i9-13900HX,GeForce RTX 4060,16GB,1TB SSD,"16"" QHD+ 240Hz",5159,Gaming,43940,17621,4,5.8,3.7,5.1,3.7,4.6
26,Dell,G15 5535,AMD Ryzen 7 7840HS,GeForce RTX 4060,16GB,512GB SSD,"15.6"" FHD 165Hz",3882,Gaming,28900,17621,6,5.3,3.0,3.5,3.7,3.9
27,Dell,XPS 17 9720,Intel Core i7-12700H,GeForce RTX 3060,64GB,4TB SSD,"17"" UHD+",14850,Designing,26024,13311,6,5.0,4.5,5.7,7.2,5.6
28,Dell,XPS 17 (2023),Intel Core i7-13700H,GeForce RTX 3060,32GB,1TB SSD,"17"" UHD+",10500,Designing,26897,13311,12,4.4,4.6,4.4,4.4,4.5
29,Dell,XPS 13 (2024),Intel Core Ultra 7 256V,Integrated,16GB,512GB SSD,"13.4"" InfinityEdge",5250,Programming and AI,20215,150,20,2.0,5.1,3.2,2.0,2.5
30,Dell,Inspiron 14 Plus 7441 (2024),Snapdragon X Plus,Integrated,16GB,512GB SSD,14-inch,3937,Studying,21868,150,10,2.0,3.3,2.9,2.0,2.0
31,Dell,Latitude 7450,Intel Core Ultra 7 165U,Integrated,16GB,512GB SSD,14-inch,5250,Studying,17708,150,10,2.0,3.0,2.4,2.0,2.0
32,Dell,Latitude 3140 2-in-1,Intel N100,Integrated,8GB,128GB SSD,11.6-inch HD Touchscreen,1500,Studying,5466,150,13,2.0,2.4,2.0,2.0,2.0
33,Dell,XPS 13 9345,Intel Core Ultra 7 256V,Integrated,16GB,512GB SSD,13.4-inch Full HD+,5250,General,20215,150,14,2.0,3.9,2.9,2.0,2.1
34,Dell,Inspiron 14 (5441),Snapdragon X Plus,Integrated,16GB,512GB SSD,14-inch Full HD,2437,General,21868,150,15,2.0,4.3,3.2,2.0,2.2
35,GIGABYTE,AORUS 16X ASG,Intel Core i9 14900HX,GeForce RTX 4070,32GB,2TB SSD,"16"" WQXGA 165Hz",7081,Gaming,45640,29512,7,9.0,5.0,6.3,7.1,6.9
36,HP,Victus 16-s1023dx,AMD Ryzen 7 8845HS,GeForce RTX 4070,16GB,512GB SSD,"16.1"" FHD 144Hz",5108,Gaming,28704,29512,10,8.1,3.8,3.7,5.7,5.3
37,HP,Victus 15-FA1082WM,Intel Core i5-13420H,GeForce RTX 4050,16GB,512GB SSD,"15.6"" FHD 144Hz",2621,Gaming,18250,14418,2,4.1,2.0,2.1,3.1,2.7
38,HP,Omen 16t-wf000,Intel Core i7-14700HX,GeForce RTX 4070,16GB,1TB SSD,"16.1"" FHD 165Hz",6029,Gaming,37640,29512,7,8.4,3.8,4.5,5.7,5.6
39,HP,Omen 16,Intel Core i7-12700H,GeForce RTX 3070,32GB,1TB SSD,"16.1"" FHD 144Hz",6029,Gaming,26024,15403,7,4.9,3.6,4.1,4.7,4.3
40,HP,ZBook Fury 17 G8,Intel Core i9-11950H,NVIDIA Quadro RTX A5000,64GB,2TB SSD,"17.3"" DreamColor",19999,Designing,21049,16161,7,5.5,4.3,5.2,7.7,5.7
